id,answers,answers2,answers3
394,stoves heat homes because of fire,The stove is hot and transfers heat,The stove is an object that puts out heat.
1837,humans only have 2 legs,Everybody has only 2 legs.,He has just two legs
334,Horse drinks water with its mouth as don't have trunk,The horse does not have a trunk,A horse does not have a trunk.
892,there are no sharks in the woods,Sharks do not live in the woods,sharks are only found in water
1344,there is no evidence that aliens existed,"We do not know if aliens even exist, but if they do you cannot change a person into one.",Aliens come from outer space and are not made.
83,Salsa is a food item,Salsa is in water,"Salsa is a food, not a hair product."
1123,2 inches is too short a distance to be ran.,2 inches is not a far distance to run,2 inches of distance is not enough for a person to run.
73,Writing is on the outside of the bottle,There is nothing to read in a bottle.,You open a bottle to drink it
1852,A pony is much larger than a lock.,Ponies are too big.,Locks require a key to be used.
904,oxygen is necessary for combustion,Oxygen is necessary for burning.,Fire needs oxygen to burn.
1996,People use eyes but not hands to see the world,No-one sees by hand.,Hands are not used to see with.
1111,"Sleeping with makeup on is bad for your skin, it can make you break out.",makeup is for meant for beauty only not for health,Makeup is not good for your skin because it clogs your pores.
877,standing up for a long time will make your body tired,Standing up for long hours is tiresome and not relaxing.,Standing up for long hours is tiring.
600,Chronic pain is usually caused by physical damage.,A persons mood is dependent on the presence or lack of pain not the other way around,someones mood cannot create pain as it is a stimulus
1736,A building is made of bricks and can not eat buy cats,Cats are too small to eat buildings.,cat is a small animal . it's mouth is also small like him/her
1798,Burglary is illegal,You can't teach students burglary in a school legally.,Burglary is not a subject to be taught.
294,It is not possible to slip on a gentle breeze for a man,A gentle breeze will not be on the floor,A gentle breeze is not slippery.
811,lime and cement has some inedible chemicals,People do not eat lime and cement,Lime and cement are not used to make sandwhiches
1139,Hotel is only for human guest and no hotel will have cow shelter insider,Cows are not housed in hotels.,A hotel is for serving food
93,water is tasteless,This does not make sense because water has a different flavor than orange juice.,Water can't taste like something it isn't.
799,the dry cleaner doesn't receive anything other than clothes,dry cleaner we put dresses,Dry cleaners clean clothes not doors.
67,Fire is hot and will burn you.,The fire will burn you if you touch it.,"Fire is hot, therefore it would not cool you."
1830,libraries are made to hold books and that is the reason they exist.,A library is made up of mostly books.,Libraries are full of books.
932,football is played on land,swimming attire is not work to play field sports,Football requires kicking a ball which cannot be done in water
306,Orange juice is the same color as oranges which is orange.,Oranges are orange and make orange juice,The inside of an Orange is orange so the juice cannot be green.
141,Dogs should not eat metal.,Dogs do not eat aluminum,Dogs do not require aluminum to live.
264,Singing has nothing to do with jogging,You wouldn't need to sing to jog.,"Singing will naturally lead people to make songs, but it won't naturally lead them to jogging."
999,seashells don't grow on trees,Seashells are made from living things of coean only,Seashells exist by the sea
1914,Boys general grow taller than girls,Girls and boys vary in height.,Boys on average are taller than girls
372,Pterodactyls have been extinct for thousands of years,pterodactyls are not pets,His pet dog is gentle and not pterodactyl.
1664,boy doesn't need to wear a bra because they don't have breasts.,Boys do not have breasts,Boys don't have breasts.
1093,there is usually no precious metal in the classroom,You don't play sports in class,hoe the gold is not part of school work
1822,Water doesn't drink,water cannot perform any actions,Water is a liquid.
174,a witch is flesh and bones,"Toads are animals, not inanimate objects.",Witches are not made of wood.
527,"An electrician uses electricity, but does not create it.",electricity is not generated by a person,electricity cannot be generated by a person
32,A farm is a place with animals,Farms cant travel.,Farms cannot move
25,chocolate bars are made of chocolate.,All the chocolate bars will be molded metals,Chocolate and metal are not the same
48,A cat's body can't be balanced on the tip of its' tail.,Parachutes are made for humans.,"Cats land on all fours, the tail does not support weight"
641,bike is generally sold in a bike showroom,"Bookstores sell books, not bikes.","Books are sold at a bookstore, not bikes"
614,a can opener cannot be opened.,"You cannot open a can open with a can opener because a can opener does not need to be opened, and if it did, you would not use a can open to open it.",a can opener itself isn't an item that is typically opened
266,He would be in too much pain For a burger,broken legs require being hospitalized,He broke a leg and had to make a dressing and did not go to get a hamburger because his loss was broken
1791,An apple can not eat people,An apple doesn't have teeth.,apple is not an organism
979,The carpet will absorb water and sink,Carpets need a subfloor.,A lake would not be able to grip onto carpet.
1775,amazon still works well now,Amazon is a very large company which has not gone bankrupt.,"Amazon has huge amounts of money, making it unlikely that it would go bankrupt"
903,birds do not drink milk,We don't let birds in the house.,A bird would have to be inside the house to spill milk on the floor; since they live outside it is highly improbable.
1283,Airplane need bigger engines than cars,Car engine can not power a airplane,Car engines are too small to power airplanes
1075,"Mud is dirty, so playing in it will get dirty.","Mud is wet dirt, so it would not make the dog clean.",Mud is dirty
10,Animals are forbidden to enter the museum,Zebras are not allowed in museums,You can't have a zebra as a pet.
107,Watermelon is a fruit,watermelons don't have mouths,Watermelons do not have the ability to consume people.
317,Grass cannot cut a lawnmower.,Grass is not a mechanical object used to cut a lawnmower; you use a lawnmower to cut grass.,Grass is too light to cut a lawnmower.
1018,there is no place for swimming in a zoo,They do not let you fish at a zoo,People are not allowed in the spaces reserved for animals at a zoo.
288,The sky won't appear orange,The sky is made of nitrogen which scatters blue light,The color of the sky is blue.
